,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
31,,"Alkisno Husain","2021-01-02 03:41:31",0,no,no,"Jadi Pas Di SG yang menang pemilihan vote, warna emas yah!",UCrp_dcOEgH9CXU_Di0o6ZJg,Ugx2Mo0hp4h-oJ0vMhZ4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugx2Mo0hp4h-oJ0vMhZ4AaABAg
32,,"Risman 27","2021-01-02 03:42:01",0,no,no,"Bang review puma legacy dark mode",UCoR5KTuuiPtTVBDCy5hyagg,UgzfbJcigWaotaU9oaB4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgzfbJcigWaotaU9oaB4AaABAg
33,,"Muhammad Dipa Anwari","2021-01-02 03:43:06",0,no,no,"kybrid s2 bangg 🙏🙏🙏🙏🙏",UCqowkk1URpJgo92VNpkclxw,Ugz0HJCLAHQTpMGFP_B4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugz0HJCLAHQTpMGFP_B4AaABAg
34,,"KS Gaming","2021-01-02 03:48:50",0,no,no,"Mahal bet hiks",UCiPWfVWTwDk9WK08wWZcV4A,UgybY-tvc9P9dyhAtg54AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgybY-tvc9P9dyhAtg54AaABAg
35,,"Wahyu Husodo","2021-01-02 04:28:29",0,no,no,"Gak ada outsolenya ya",UCO9KhtkAdcWeJcfPhCaD6QQ,Ugypv_pK4auMIbWUFAV4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugypv_pK4auMIbWUFAV4AaABAg
36,,"Rahmad Ilham","2021-01-02 04:29:03",0,no,no,"Yang kutunggu-tunggu telah tiba",UCo91ItxlUsFOHos4JfCsS1A,Ugz2o72dl_rhpRvJ3Pp4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugz2o72dl_rhpRvJ3Pp4AaABAg
37,,"Alan Lahay","2021-01-02 04:34:20",0,no,no,"Modelnya b aja",UCRcoEAbbUPN6zmkQ8Z7Q_uQ,UgwepryEz3DaYVn2Ao14AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgwepryEz3DaYVn2Ao14AaABAg
38,,Fathurr,"2021-01-02 04:37:08",4,no,no,"#rekomendasi sepatu terbaik outdoor akhir tahun min",UC9COIjncZcFdKHN3TD4MTDw,Ugwde9khSYkTq-312U54AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugwde9khSYkTq-312U54AaABAg
39,,"Ahmad Ariadi","2021-01-02 04:42:18",0,no,no,"Headshoes Best riview shoes 👍😁",UCtOVPMqhmjUWeppOJl1nzmw,UgxzbhyYuPbG6lKzURx4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgxzbhyYuPbG6lKzURx4AaABAg
40,,"PutraTidar Trans","2021-01-02 06:56:19",0,no,no,"mantap pake timbangan",UCZNQaXWxYqMmaheYcf9TATg,UgwM6H8SVOb5k04vU7h4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgwM6H8SVOb5k04vU7h4AaABAg
41,,"Gabriel Jerico","2021-01-02 07:21:20",0,no,no,"masih menunggu review Nike Renew Elevate 😢",UCyCyHS2e7kqQhbFgfKw2noQ,Ugwz2QTHaycDsRjD1vt4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugwz2QTHaycDsRjD1vt4AaABAg
42,,"Fikri Rivan","2021-01-02 07:33:44",0,no,no,"Review Puma sky modern bang",UC4mGaVducbgAZhh20QqPXHw,UgyNrZghT7H3eXdTXD14AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgyNrZghT7H3eXdTXD14AaABAg
43,,"FERDINAND HENRY","2021-01-02 09:45:44",0,no,no,"Nexy kybrid s2",UCSO8rO201rqz95dECvu-T0Q,UgwdmIz09hckWifOM_14AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgwdmIz09hckWifOM_14AaABAg
44,,"Reoni Indra H","2021-01-02 10:54:10",0,no,no,"Drose 11 jangan lupa min",UCA3kQYEh5oxjiHM6CuCSSqg,UgxmmxuUZlTEOJiswkV4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgxmmxuUZlTEOJiswkV4AaABAg
45,,"Kaufi Yasfa D4","2021-01-02 13:22:06",0,no,no,"siapa yang pake sepatu ini buat outdoor",UCp7_vQl-_7n51hvwvKFfc2A,Ugy7Tyk6FcpfkVFDduN4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugy7Tyk6FcpfkVFDduN4AaABAg
46,,AK4605,"2021-01-02 15:42:01",0,no,no,"Emang beda kok bg ahmad biondi",UCh8BZNkIK2ZWKhT4TKZysvg,Ugx4Mr3bUJuNMyDfUa14AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugx4Mr3bUJuNMyDfUa14AaABAg
47,,OjiramdhanAW,"2021-01-02 16:20:30",1,no,no,"Bg coba why not Ziro4,kayaknya asik tu",UC2_ZCzC6hVdCF3lMFzzI-lg,UgwTjiJQsiGL3CkENwl4AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=UgwTjiJQsiGL3CkENwl4AaABAg
48,,"sepulang kampus","2021-01-03 01:05:43",0,no,no,"Bang top 10 sepatu outdoor dong",UC1R4pnC_75Bfcm-G12rW1iw,Ugz86vkM2nJTjj_pIB14AaABAg,https://www.youtube.com/watch?v=VbfjCCAd3GY&lc=Ugz86vkM2nJTjj_pIB14AaABAg
